GAME_ID,DATE,Team1,Team2,Team1_PTS,Team2_PTS,Team1_FG_PCT,Team2_FG_PCT,Team1_AST,Team2_AST,Team1_REB,Team2_REB,Team1_TOV,Team2_TOV,Team1_PLUS_MINUS,Team2_PLUS_MINUS,Team1Win
0022100185,2021-11-13,miami heat,utah jazz,111,105,0.494,0.412,23,23,48,38,19,16,6.0,-6.0,1
0022100186,2021-11-13,indiana pacers,philadelphia 76ers,118,113,0.573,0.427,33,16,37,46,15,14,5.0,-5.0,1
0022100187,2021-11-13,orlando magic,washington wizards,92,104,0.337,0.5,21,29,44,48,13,15,-12.0,12.0,0
0022100188,2021-11-13,memphis grizzlies,new orleans pelicans,101,112,0.432,0.481,21,29,39,37,9,13,-11.0,11.0,0
0022100189,2021-11-13,detroit pistons,toronto raptors,127,121,0.544,0.506,34,21,34,39,13,13,6.0,-6.0,1
0022100190,2021-11-13,boston celtics,cleveland cavaliers,89,91,0.423,0.383,20,17,47,39,19,11,-2.0,2.0,0
0022100191,2021-11-13,la clippers,minnesota timberwolves,129,102,0.535,0.392,35,25,57,41,14,10,27.0,-27.0,1
0022100192,2021-11-14,los angeles lakers,san antonio spurs,114,106,0.518,0.444,28,28,46,43,14,15,8.0,-8.0,1
0022100193,2021-11-14,atlanta hawks,milwaukee bucks,120,100,0.485,0.452,21,24,51,30,12,11,20.0,-20.0,1
0022100194,2021-11-14,charlotte hornets,golden state warriors,106,102,0.477,0.422,23,31,39,49,11,15,4.0,-4.0,1
0022100195,2021-11-14,houston rockets,phoenix suns,89,115,0.412,0.433,19,19,48,52,23,10,-26.0,26.0,0
0022100196,2021-11-14,brooklyn nets,oklahoma city thunder,120,96,0.5,0.4,31,20,44,44,13,14,24.0,-24.0,1
0022100197,2021-11-14,denver nuggets,portland trail blazers,124,95,0.522,0.438,29,22,49,36,9,12,29.0,-29.0,1
0022100198,2021-11-14,chicago bulls,la clippers,100,90,0.442,0.358,19,16,45,44,15,19,10.0,-10.0,1
0022100199,2021-11-15,boston celtics,cleveland cavaliers,98,92,0.462,0.386,23,18,46,42,14,13,6.0,-6.0,1
0022100200,2021-11-15,detroit pistons,sacramento kings,107,129,0.406,0.531,23,32,47,47,17,13,-22.0,22.0,0
0022100201,2021-11-15,new orleans pelicans,washington wizards,100,105,0.405,0.464,20,23,45,42,12,5,-5.0,5.0,0
0022100202,2021-11-15,atlanta hawks,orlando magic,129,111,0.553,0.453,32,30,46,41,11,16,18.0,-18.0,1
0022100203,2021-11-15,indiana pacers,new york knicks,84,92,0.372,0.43,16,22,44,46,7,10,-8.0,8.0,0
0022100204,2021-11-15,dallas mavericks,denver nuggets,111,101,0.5,0.476,30,20,44,46,8,11,10.0,-10.0,1
0022100205,2021-11-15,houston rockets,memphis grizzlies,102,136,0.379,0.542,24,33,46,49,17,10,-34.0,34.0,0
0022100206,2021-11-15,minnesota timberwolves,phoenix suns,96,99,0.365,0.376,18,21,54,52,18,15,-3.0,3.0,0
0022100207,2021-11-15,miami heat,oklahoma city thunder,103,90,0.451,0.41,22,26,45,42,17,20,13.0,-13.0,1
0022100208,2021-11-15,portland trail blazers,toronto raptors,118,113,0.561,0.461,25,20,39,39,12,11,5.0,-5.0,1
0022100209,2021-11-15,chicago bulls,los angeles lakers,121,103,0.551,0.456,31,19,36,43,16,17,18.0,-18.0,1
0022100210,2021-11-16,brooklyn nets,golden state warriors,99,117,0.386,0.519,21,25,38,53,11,21,-18.0,18.0,0
0022100211,2021-11-16,philadelphia 76ers,utah jazz,85,120,0.367,0.517,19,27,42,56,8,9,-35.0,35.0,0
0022100212,2021-11-16,la clippers,san antonio spurs,106,92,0.435,0.432,16,26,52,41,20,16,14.0,-14.0,1
